,price,bd_num,ba_num,sqft,address,zestimate,Building,Calendar,Heating,Snowflake,Parking,Lot,PriceSquareFeet,url,zipcode
98,"$148,500",2,1,--,"1127 Normahill Dr,Pittsburgh, PA 15201","$141,400",Townhouse,Built in 1940,"Natural gas, forced air",Central air,2 Parking spaces,"3,328 sqft",,https://www.zillow.com/homedetails/1127-Normahill-Dr-Pittsburgh-PA-15201/11275322_zpid/,15201
99,"$429,900",2,2,"1,864","309 45th St,Pittsburgh, PA 15201","$421,600",Single family residence,Built in 1880,"Natural gas, forced air",Central air,2 Open parking spaces,"2,639 sqft",$231 price/sqft,https://www.zillow.com/homedetails/309-45th-St-Pittsburgh-PA-15201/11513165_zpid/,15201
100,"$259,950",3,2,"1,269","1141 Oglethorpe Ave,Pittsburgh, PA 15201","$243,300",Single family residence,Built in 1939,"Natural gas, hot water",Window a/c,2 Parking spaces,"3,497 sqft",$205 price/sqft,https://www.zillow.com/homedetails/1141-Oglethorpe-Ave-Pittsburgh-PA-15201/11275317_zpid/,15201
101,"$192,000",4,2,"1,459","5317 McCandless Ave,Pittsburgh, PA 15201","$188,600",Single family residence,Built in 1950,"Natural gas, forced air",Central air,Open parking,"2,151 sqft",$132 price/sqft,https://www.zillow.com/homedetails/5317-McCandless-Ave-Pittsburgh-PA-15201/11615344_zpid/,15201
102,"$210,000",2,2,982,"4926 Hatfield St,Pittsburgh, PA 15201","$205,200",Single family residence,Built in 1910,Natural gas,Wall unit(s),1 Parking space,"1,258 sqft",$214 price/sqft,https://www.zillow.com/homedetails/4926-Hatfield-St-Pittsburgh-PA-15201/11612758_zpid/,15201
103,"$354,900",2,1,"1,245","183 Lodi Way,Pittsburgh, PA 15201",None ,Single family residence,Built in 1890,"Natural gas, forced air",Central air,1 Open parking space,801.50 Sqft,$285 price/sqft,https://www.zillow.com/homedetails/183-Lodi-Way-Pittsburgh-PA-15201/11513237_zpid/,15201
104,"$325,000",--,--,--,"174 45th St,Pittsburgh, PA 15201","$314,900",Duplex,Built in 1890,No data,No data,2 Garage spaces,,,https://www.zillow.com/homedetails/174-45th-St-Pittsburgh-PA-15201/11613486_zpid/,15201
105,"$299,000",3,2,"2,033","95 McCandless Ave,Pittsburgh, PA 15201","$298,500",Single family residence,Built in 1930,"Natural gas, forced air",No data,4 Attached garage spaces,No data,$147 price/sqft,https://www.zillow.com/homedetails/95-McCandless-Ave-Pittsburgh-PA-15201/11612527_zpid/,15201
106,"$321,500",3,3,"1,992","3027 Josephine St,Pittsburgh, PA 15203",None ,Single family residence,Built in 1901,Natural gas,Central air,Open parking,"2,225 sqft",$161 price/sqft,https://www.zillow.com/homedetails/3027-Josephine-St-Pittsburgh-PA-15203/11427061_zpid/,15203
107,"$179,900",--,--,--,"120 Brosville St,Pittsburgh, PA 15203",None ,Duplex,Built in 1900,No data,No data,Open parking,,,https://www.zillow.com/homedetails/120-Brosville-St-Pittsburgh-PA-15203/11475189_zpid/,15203
